FBtr0344110	1000	639	691.618	0.691618	1.08234
FBtr0111192	1000	639	691.618	0.691618	1.08234
FBtr0111191	1000	639	691.618	0.691618	1.08234
FBtr0336924	-1000	0	0	-0	0
FBtr0299903	-1000	0	0	-0	0
FBtr0111134	-1000	0	0	-0	0
FBtr0344114	1000	486	1542.12	1.54212	3.17308
FBtr0299926	-1000	0	0	-0	0
FBtr0344113	1000	617	854.092	0.854092	1.38427
FBtr0344466	-1000	0	0	-0	0
FBtr0344465	-1000	0	0	-0	0
FBtr0344112	-1000	0	0	-0	0
FBtr0344111	-1000	0	0	-0	0
FBtr0302021	-1000	0	0	-0	0
FBtr0302020	-1000	0	0	-0	0
FBtr0301619	-1000	0	0	-0	0
FBtr0301618	-1000	0	0	-0	0
FBtr0111190	-1000	0	0	-0	0
FBtr0111189	-1000	0	0	-0	0
FBtr0111188	-1000	0	0	-0	0
FBtr0343092	-1000	0	0	-0	0
FBtr0346044	-1000	0	0	-0	0
FBtr0111194	1000	524	147.085	0.147085	0.280697
FBtr0332615	1000	448	22.9028	0.0229028	0.0511223
FBtr0112536	1000	549	1239.02	1.23902	2.25687
FBtr0310113	-1000	0	0	-0	0
FBtr0310112	-1000	0	0	-0	0
FBtr0304314	-1000	0	0	-0	0
FBtr0304313	-1000	0	0	-0	0
FBtr0333178	1000	645	396.253	0.396253	0.614345
FBtr0333177	1000	645	396.253	0.396253	0.614345
FBtr0333181	-1000	0	0	-0	0
FBtr0333179	-1000	0	0	-0	0
FBtr0100538	-1000	0	0	-0	0
FBtr0077342	-1000	0	0	-0	0
FBtr0333180	-1000	0	0	-0	0
FBtr0333182	-1000	0	0	-0	0
FBtr0077343	-1000	0	0	-0	0
FBtr0345959	-1000	0	0	-0	0
FBtr0335051	-1000	0	0	-0	0
FBtr0344073	1000	650	1105.28	1.10528	1.70043
FBtr0077362	-1000	0	0	-0	0
FBtr0077361	1000	600	-258.8	-0.2588	-0.431333
FBtr0077363	-1000	0	0	-0	0
FBtr0333713	1000	621	833.379	0.833379	1.342
FBtr0077359	1000	621	833.379	0.833379	1.342
FBtr0077364	-1000	0	0	-0	0
FBtr0333716	-1000	0	0	-0	0
FBtr0333715	1000	600	494.074	0.494074	0.823457
FBtr0077360	1000	600	494.074	0.494074	0.823457
FBtr0333714	1000	625	6.58782	0.00658782	0.0105405
FBtr0077358	1000	625	6.58782	0.00658782	0.0105405
FBtr0333773	-1000	0	0	-0	0
FBtr0345927	-1000	0	0	-0	0
FBtr0343580	1000	631	-382.119	-0.382119	-0.605577
FBtr0343579	1000	631	-382.119	-0.382119	-0.605577
FBtr0299523	1000	631	-382.119	-0.382119	-0.605577
FBtr0309524	-1000	0	0	-0	0
FBtr0343582	1000	541	-247.604	-0.247604	-0.457679
FBtr0299524	1000	541	-247.604	-0.247604	-0.457679
FBtr0343583	1000	541	-247.604	-0.247604	-0.457679
FBtr0299526	1000	541	-247.604	-0.247604	-0.457679
FBtr0299525	1000	541	-247.604	-0.247604	-0.457679
FBtr0299522	1000	541	-247.604	-0.247604	-0.457679
FBtr0343581	1000	541	-247.604	-0.247604	-0.457679
FBtr0310475	1000	627	-2331.43	-2.33143	-3.71839
FBtr0100652	1000	625	-2541.75	-2.54175	-4.0668
FBtr0077353	1000	625	-2541.75	-2.54175	-4.0668
FBtr0077352	1000	625	-2541.75	-2.54175	-4.0668
FBtr0339501	1000	625	-2541.75	-2.54175	-4.0668
FBtr0100650	1000	625	-2541.75	-2.54175	-4.0668
FBtr0339500	1000	625	-2179.71	-2.17971	-3.48754
FBtr0100651	1000	625	-2179.71	-2.17971	-3.48754
FBtr0346429	-1000	0	0	-0	0
FBtr0335046	-1000	0	0	-0	0
FBtr0077365	-1000	0	0	-0	0
FBtr0077366	-1000	0	0	-0	0
FBtr0077351	1000	475	192.933	0.192933	0.406176
FBtr0077367	-1000	0	0	-0	0
FBtr0335047	-1000	0	0	-0	0
